ID,Year,Trap,TreatNum,SizeNum,TopoNum,AmphiPres,Rep,ProxNum
R07066,1988,24,1,1,2,0,1,1
R07070,1988,30,1,1,2,0,2,2
R07072,1988,129,1,2,2,0,4,2
R07111,1990,43,1,3,2,0,2,2
R07114,1990,42,1,3,1,0,2,2
R07115,1990,135,1,2,1,1,4,1
R07126,1990,122,1,3,2,0,4,2
R07236,1991,126,1,3,2,1,4,1
R07263,1991,15,1,3,2,0,1,1
R07266,1991,47,1,3,2,0,2,1
R07369,1991,33,1,2,2,0,2,2
R07370,1991,70,1,1,2,0,3,1
R07382,1991,141,1,1,1,0,4,1
R07385,1991,142,1,1,2,0,4,1
R07455,1991,63,1,2,2,0,3,2
R07459,1991,20,1,1,1,0,1,1
R07463,1991,40,1,2,1,0,2,2
R07464,1991,60,1,2,2,0,3,1
R07468,1991,140,1,1,1,0,4,2
R07469,1991,6,1,2,1,0,1,1
R07480,1990,69,1,1,2,0,3,1
R07497,1990,14,1,3,2,0,1,2
R07818,1992,55,1,3,1,0,3,1
R08035,1993,49,1,3,2,0,3,2
R08041,1993,2,1,2,2,0,1,2
R08078,1993,39,1,2,1,0,2,2
R08090,1993,125,1,3,1,0,4,1
R08422,1994,44,1,3,2,1,2,2
R08424,1994,58,1,2,1,0,3,1
R08495,1994,50,1,3,2,0,3,2
R08496,1994,53,1,3,2,0,3,1
R08497,1994,51,1,3,1,0,3,2
R08499,1994,13,1,3,2,1,1,2
R08505,1994,9,1,3,1,0,1,2
R08511,1994,25,1,1,1,0,2,2
R08512,1994,23,1,1,2,0,1,1
R08519,1994,128,1,3,2,0,4,2
R08522,1994,72,1,1,2,0,3,2
R08535,1994,127,1,3,2,0,4,1
R08538,1994,36,1,2,2,0,2,1
R08539,1994,135,1,2,1,0,4,1
R08607,1994,32,1,1,2,0,2,1
R08608,1994,17,1,1,1,0,1,2
R08628,1994,35,1,2,2,0,2,1
R08629,1994,4,1,2,2,0,1,1
R08639,1994,65,1,1,1,0,3,2
R08823,1995,48,1,3,2,0,2,1
R08842,1995,46,1,3,1,0,2,1
R08921,1995,1,1,2,2,0,1,2
R08978,1995,18,1,1,1,0,1,2
R08995,1995,134,1,2,2,0,4,1
R09223,1996,7,1,2,1,0,1,2
R09384,1996,130,1,2,2,1,4,2
R09463,1996,64,1,2,1,0,3,2
R09476,1996,12,1,3,1,0,1,1
R09485,1996,143,1,1,2,1,4,1
R09495,1996,66,1,1,1,0,3,1
R09497,1996,3,1,2,2,0,1,1
R09524,1996,144,1,1,2,0,4,2
R09634,1997,11,1,3,1,0,1,1
R09668,1997,10,1,3,1,0,1,2
R09672,1997,16,1,3,2,0,1,1
R09683,1997,139,1,1,2,0,4,2
R09692,1997,54,1,3,2,0,3,1
R09702,1997,29,1,1,2,0,2,2
R07121,1990,94,2,4,1,0,6,0
R07122,1990,87,2,4,2,0,6,0
R07159,1989,115,2,4,1,0,5,0
R07168,1989,113,2,4,1,0,5,0
R07184,1989,79,2,4,2,1,6,0
R07358,1991,76,2,4,2,0,6,0
R07435,1991,100,2,4,2,0,5,0
R07481,1990,99,2,4,2,1,5,0
R07536,1992,102,2,4,1,0,5,0
R07578,1992,97,2,4,2,0,5,0
R07621,1991,78,2,4,2,0,6,0
R07736,1992,96,2,4,1,1,6,0
R07757,1992,108,2,4,2,1,5,0
R07777,1992,110,2,4,1,0,5,0
R07895,1992,116,2,4,1,0,5,0
R08037,1993,86,2,4,2,0,6,0
R08070,1993,73,2,4,1,0,6,0
R08079,1993,114,2,4,1,1,5,0
R08160,1993,92,2,4,2,0,6,0
R08437,1994,112,2,4,1,1,5,0
R08916,1995,105,2,4,2,0,5,0
R08997,1995,88,2,4,1,0,6,0
R09075,1995,119,2,4,2,0,5,0
R09109,1995,91,2,4,2,1,6,0
R09126,1995,75,2,4,1,1,6,0
R09174,1996,107,2,4,2,1,5,0
R09268,1996,117,2,4,2,0,5,0
R09448,1996,81,2,4,1,0,6,0
R09499,1996,120,2,4,2,0,5,0
R09651,1997,82,2,4,2,1,6,0
R09662,1997,77,2,4,2,0,6,0
R09671,1997,98,2,4,2,0,5,0
R07112,1990,165,3,,1,0,2,
R07228,1991,146,3,,2,0,1,
R07229,1991,164,3,,2,0,2,
R07253,1991,150,3,,2,0,1,
R07308,1991,167,3,,1,0,3,
R07309,1991,171,3,,1,0,3,
R07351,1991,158,3,,2,0,2,
R07360,1991,160,3,,2,0,2,
R07378,1991,170,3,,2,0,3,
R07424,1991,179,3,,1,0,4,
R07428,1991,180,3,,2,0,4,
R07466,1991,183,3,,1,0,4,
R07479,1990,172,3,,2,0,3,
R07487,1990,185,3,,2,0,4,
R07496,1990,182,3,,2,0,4,
R07799,1992,188,3,,2,0,4,
R07982,1993,184,3,,2,0,4,
R08009,1993,163,3,,1,0,2,
R08040,1993,149,3,,1,0,1,
R08091,1993,169,3,,1,0,3,
R08527,1994,152,3,,2,0,1,
R08534,1994,151,3,,1,0,1,
R09270,1996,157,3,,1,0,2,
R09453,1996,159,3,,1,0,2,
R09486,1996,181,3,,1,0,4,
R09639,1997,177,3,,1,0,3,
R09659,1997,156,3,,2,0,2,